villain,movie,line_number,dialogue,direction,word_count
Patrick Bateman,American Psycho,36,"You'll notice that my friends and I all look and behave in a remarkably similar fashion, but there are subtle differences between us. McDermott is the biggest asshole. Van Patten is the yes man. Price is the most wired. I'm the best looking. We all have light tans. Right now I'm in a bad mood because this is not a good table, and Van Patten keeps asking dumb, obvious questions about how to dress .",,75
Patrick Bateman,American Psycho,52,Or can it be worn with a suit? McDERMOTT (Smiling) Exactly,,11
Patrick Bateman,American Psycho,57,With discreet pinstripes you should wear a subdued blue or charcoal gray vest. A plaid suit would cal I for a bolder vest. McDERMOTT But avoid matching the vest's pattern with your socks or tie. Wearing argyle socks with an argyle vest will look too studied.,,46
Patrick Bateman,American Psycho,72,Van Patten looks puffy. Has he stopped working out?,,9
Patrick Bateman,American Psycho,97,That's not Paul Owen. Paul Owen's on the other side of the room. Over there. He points to another handsome young man with slicked-back hair and horn-rimmed glasses. McDERMOTT Who is he with?,,33
Patrick Bateman,American Psycho,121,"Oh Jesus, McDermott, what does that have to do with anything? McDERMOTT Listen. I've seen the bastard sitting in his office on the phone with CEOs, spinning a fucking menorah. The bastard brought a Hanukkah bush into the office last December.",,41
Patrick Bateman,American Psycho,127,"You spin a dreidel, McDermott, not a menorah. You spin a dreidel. McDERMOTT Oh my God. Bateman, do you want me to fry you up some fucking potato pancakes? Some latkes?",,31
Patrick Bateman,American Psycho,132,No. Just cool it with the anti-Semitic remarks. McDERMOTT Oh I forgot. Bateman's dating someone from the ACLU. Price leans over and pats Bateman on the back.,,27
Patrick Bateman,American Psycho,157,"Whoa, wait. May I ask where Pamela is during all this? McDERMOTT Oh fuck you. I want a blowjob, Bate-man. I want a chick who's gonna let me-",,28
Patrick Bateman,American Psycho,194,"I'm not sure, guy, but I don't think dyslexia is a virus.",,12
Patrick Bateman,American Psycho,209,Maybe it's just the light.,,5
Patrick Bateman,American Psycho,216,What?,,1
Patrick Bateman,American Psycho,223,It's definitely weak but I have a feeling if we do enough of it we'll be okay.,,17
Patrick Bateman,American Psycho,238,Calm down. Let's do it anyway,,6
Patrick Bateman,American Psycho,252,"That's the spirit. They both dig their platinum Amex cards into the envelope of white powder, shoveling it up their noses, then sticking their fingers in to catch the residue and rubbing it into their gums.",,36
Patrick Bateman,American Psycho,271,"My name is Patrick Bateman. I am twenty-six years old. I live in the American Garden Buildings on West Eighty-First Street, on the eleventh floor Tom Cruise lives in the penthouse. Bateman walks into his bathroom, urinates while trying to see his reflection in a poster for Les Miserables above his toilet.",,52
Patrick Bateman,American Psycho,276,"(V.0.) I believe in taking care of myself, in a balanced diet, in a rigorous exercise routine. In the morning, if my face is a little puffy, I'll put on an ice pack while doing my stomach crunches. I can do a thousand now. Bateman ties a plastic ice pack around his face. Bateman does his morning stretching exercises in the living room wearing the ice pack. A mirror-lined bathroom. Bateman is luxuriating in the shower steam, scrubbing his body, admiring his muscles. BATEMAN (V.O.) After I remove the icepack, I use a deep pore-cleanser lotion. In the shower, I use a water-activated gel cleanser, then a honey-almond body scrub, and on the face an exfoliating gel scrub. Bateman stands in front of a massive marble sink applying a gel facial masque.",,132
Patrick Bateman,American Psycho,287,"Then I apply an herb mint facial masque which I leave on for ten minutes while I prepare the rest of my routine. Bateman opens the door of a mirrored cabinet, which is stocked with immaculate rows of skin care products. He begins selecting bottles jars and brushes, laying them in readiness on the marble counter.",,56
Patrick Bateman,American Psycho,291,"I always use an after-shave lotion with little or no alcohol because alcohol dries your face out and makes you look older. Then moisturizer, then an anti-aging eye balm, followed by a final moisturizing ""protective"" lotion... Bateman stares into the mirror. The masque has dried, giving his face a strange distorted look as if it has been wrapped in plastic. He begins slowly peeling the gel masque off his face.",,70
Patrick Bateman,American Psycho,296,"There is an idea of a Patrick Bateman, some kind of abstraction, hut there is no real me, only an entity, something illusory, and though I can hide my cold gaze and you can shake my hand and feel flesh gripping you and maybe you can even sense our lifestyles are probably comparable:",,53
Patrick Bateman,American Psycho,304,"It is hard for me to make sense on any given level. My self is fabricated, an aberration. My personality is sketchy and unformed, my heartlessness goes deep and is persistent. Fully dressed in Armani, Bateman stands in front of a full-length mirror in the middle of his vast bedroom, adjusting his cuff-links.",,53
Patrick Bateman,American Psycho,308,"My conscience, my pity, my hopes disappeared a long time ago, if they ever did exist. He gives a last look at the mirror and likes what he sees. He gives his reflection a smile.",,35
Patrick Bateman,American Psycho,322,Aerobics class. Sorry. Any messages?,,5
Patrick Bateman,American Psycho,328,I occasionally box with Ricky at the Harvard Club. Anyone else?,,11
Patrick Bateman,American Psycho,334,When?,,1
Patrick Bateman,American Psycho,340,Negative. Cancel it. Jean follows him into his office.,,9
Patrick Bateman,American Psycho,347,Just...say...no.,,1
Patrick Bateman,American Psycho,354,"Okay, Jean. I need reservations for three at Camols at twelve-thirty, and if not there, try Crayons. All right?",,19
Patrick Bateman,American Psycho,363,Oh wait. And I need reservations for two at Arcadia at eight tonight. Jean turns around.,,16
Patrick Bateman,American Psycho,370,"No, silly. Forget it. I'll make them. Thanks.",,8
Patrick Bateman,American Psycho,376,"No. No. Be a doll and just get me a Perrier, okay?",,12
Patrick Bateman,American Psycho,386,Is that the Ransom file? Thanks. Don't wear that outfit again.,,11
Patrick Bateman,American Psycho,392,"I said ""Do not wear that outfit again."" Wear a dress. A skirt or something. Jean stands there, then looks down at herself.",,23
Patrick Bateman,American Psycho,401,"Come on, you're prettier than that.",,6
Patrick Bateman,American Psycho,408,"I'm not here. And high heels. I like high heels. As Jean leaves, Bateman clicks on the TV set in one corner of the room and starts watching Jeopardy!",,29
Patrick Bateman,American Psycho,419,I'm trying to listen to the new George Michael tape but Evelyn-my supposed fianc?e-keeps buzzing in my ear. Evelyn continues to make notes.,,23
Patrick Bateman,American Psycho,429,(Removing his Walkman) Do...what.,,4
Patrick Bateman,American Psycho,435,Evelyn?,,1
Patrick Bateman,American Psycho,441,Is your Evian spiked?,,4
Patrick Bateman,American Psycho,447,No-I can't take the time off work.,,7
Patrick Bateman,American Psycho,453,I don't want to talk about it.,,7
Patrick Bateman,American Psycho,459,Because I...want...to...fit...in. The taxi bumps to a halt.,,8
Patrick Bateman,American Psycho,466,"I'm on the verge of tears by the time we arrive at Espace since I'm positive we won't have a decent table, but we do, and relief washes over me in an awesome wave. Tm Price and two downtown types, STASH and VANDEN, are already seated. Vanden is about twenty, pretty and sullen, with green streaks in her black hair. Stash is pale, with ragged black hair and bad skin. They are all trying to read large stainless steel menus that look like minimalist art.",,85
Patrick Bateman,American Psycho,484,"Hi. Pat Bateman. Vanden takes his hand reluctantly, says nothing.",(After smiling at his own reflection in the mirror and checking his hair),10
Patrick Bateman,American Psycho,489,Let me guess-you live in the East Village? Pause.,,9
Patrick Bateman,American Psycho,506,"I am fairly sure that Timothy and Evelyn are having an affair. Timothy is the only interesting person I know. Courtney is almost perfect looking. She s usually operating on one or more psychiatric drugs. Tonight I believe it's Xanax. More disturbing than her drug use, though, is the fact that she's engaged to Luis Carruthers, the biggest dufus in the business. Courtney rouses herself from her drug haze.",,69
Patrick Bateman,American Psycho,530,"Oh come on. Price. There are a lot more important problems than Sri Lanka to worry about. Sure our foreign policy is important, but there are more pressing problems at hand.",,31
Patrick Bateman,American Psycho,536,"Well, we have to end apartheid for one. And slow down the nuclear arms race, stop terrorism and world hunger. But we can't ignore our social needs. either We have to stop people from abusing the welfare system. We have to provide food and shelter for the homeless and oppose racial discrimination and promote civil rights while also promoting equal rights for women but change the abortion laws to protect the right to life yet still somehow maintain women's freedom of choice. The table stares at Bateman uncomfortably.",,88
Patrick Bateman,American Psycho,541,"We also have to control the influx of illegal immigrants. We have to encourage a return to traditional moral values and curb graphic sex and violence on TV, in movies, in pop music, everywhere. Most importantly we have to promote general social concern and less materialism in young people. Price chokes on his drink. Everyone is silent and mystified.",,59
Patrick Bateman,American Psycho,551,Why don t you just go for Price?,,8
Patrick Bateman,American Psycho,557,He's rich.,,2
Patrick Bateman,American Psycho,563,He's good-looking.,,2
Patrick Bateman,American Psycho,569,He has a great body,,5
Patrick Bateman,American Psycho,583,No. I'm not. Why should I ?,,7
Patrick Bateman,American Psycho,589,It's not.,,2
Patrick Bateman,American Psycho,596,"Hello. The woman looks suspicious for a moment and then, seeing his smile, smiles back.",,15
